nr;code;description;augmentedDescription
32;30610;Sirloin steak;The sirloin steak is cut from the back of the animal. In a common U.S. butchery, the steak is cut from the rear back portion of the animal, continuing off the short loin from which T-bone, porterhouse, and club steaks are cut. The sirloin is actually divided into several types of steak. Sirloin steak
33;30710;Other steak;high-quality beef taken from the hindquarters of the animal, typically cut into thick slices that are cooked by grilling or frying. Other steak
34;30810;Other beef;the flesh of a cow, bull, or ox, used as food. Other beef
35;40110;Bacon;cured meat from the back or sides of a pig. Bacon
36;40210;Pork chops;A pork chop, like other meat chops, is a loin cut taken perpendicularly to the spine of the pig and usually containing a rib or part of a vertebra. Pork chops
37;40310;Ham, not canned;salted or smoked meat from the upper part of a pig's leg. Ham, not canned
38;40410;Other pork;the flesh of a pig used as food, especially when uncured Other pork
39;40510;Sausage;an item of food in the form of a cylindrical length of minced pork or other meat encased in a skin, typically sold raw to be grilled or fried before eating. Sausage
40;40610;Canned ham;A canned ham consists of pieces of ham that have been brine cured, pressed or molded, vacuum-sealed in a can, and then fully cooked. Many canned hams have gelatin added, which helps to absorb the natural juices of the ham. The ham is steam cooked in the can. Canned ham
41;50110;Frankfurters;a seasoned smoked sausage made of beef and pork. Frankfurters
42;50210;Bologna, liverwurst, salami;"a large smoked sausage made of bacon, veal, pork suet, and other meats. 
The word liverwurst is an anglicization of German Leberwurst, meaning ""liver sausage"". It is also known as liver sausage by some English speakers. a type of highly seasoned sausage, originally from Italy, usually eaten cold in slices.
 Bologna, liverwurst, salami"
43;50310;Other lunchmeats;Lunch meats—also known as cold cuts, luncheon meats, cooked meats, sliced meats, cold meats and deli meats—are precooked or cured meat, often sausages or meat loaves, that are sliced and served cold or hot on sandwiches or on party trays. Other lunchmeats
44;50410;Lamb and organ meats;a young sheep. Definition of organ meat. : any edible part of a slaughter animal that consists of or forms part of an internal organ (as the liver, kidney, heart, or brain) —distinguished from meat. Lamb and organ meats
45;50900;Mutton, goat and game;"the flesh of fully grown sheep used as food. 1.
a hardy domesticated ruminant mammal that has backward-curving horns and (in the male) a beard. It is kept for its milk and meat, and noted for its lively behaviour. Game or quarry is any animal hunted for sport or for its commodities. The term game arises in medieval hunting
 Mutton, goat and game"
46;60110;Fresh and frozen whole chicken;Roast chicken is chicken prepared as food by roasting whether in a home kitchen, over a fire, or with a professional rotisserie (rotary spit). a domestic fowl kept for its eggs or meat, especially a young one. (of food) recently made or obtained  not tinned, frozen, or otherwise preserved. (of a liquid) having turned into ice as a result of extreme cold. Fresh and frozen whole chicken
47;60210;Fresh and frozen chicken parts;Generally includes a little less than a quarter of the meat on the chicken. The cut includes a thigh, drumstick, and a part of the back. Leg: The leg of the chicken consists of two parts, which are the thigh and the drumstick. (of food) recently made or obtained  not tinned, frozen, or otherwise preserved. (of a liquid) having turned into ice as a result of extreme cold. Fresh and frozen chicken parts
48;60310;Other poultry;"domestic fowl, such as chickens, turkeys, ducks, and geese. Poultry also includes other birds that are killed for their meat, such as the young of pigeons(known as squabs) but does not include similar wild birds hunted for sport or food and known as game. The word ""poultry"" comes from the French/Norman word poule, itself derived from the Latin word pullus, which means small animal. Other poultry"
49;70110;Canned fish and seafood;Canned fish are fish which have been processed, sealed in an airtight container such as a sealed tin can, and subjected to heat. Canning is a method of preserving food, and provides a typical shelf life ranging from one to five years. Canned fish and seafood
50;70230;Fresh fish and shellfish;The quality and perceived freshness of fish can depend on whether a fish is caught in the wild or farm-raised. ... You see, everyone has a different take on what “fresh” fish means, and there are numerous reasons why the fish, as it lies waiting for your inspection, has glistening flesh or a parched, dulled look. shellfish is a culinary and fisheries term for exoskeleton-bearing aquatic invertebrates used as food, including various species of molluscs, crustaceans, and echinoderms. ... Familiar marine molluscs used as a food source by humans include many species of clams, mussels, oysters, winkles, and scallops. Fresh fish and shellfish
51;70240;Frozen fish and shellfish;The quality and perceived freshness of fish can depend on whether a fish is caught in the wild or farm-raised. ... You see, everyone has a different take on what “fresh” fish means, and there are numerous reasons why the fish, as it lies waiting for your inspection, has glistening flesh or a parched, dulled look. shellfish is a culinary and fisheries term for exoskeleton-bearing aquatic invertebrates used as food, including various species of molluscs, crustaceans, and echinoderms. ... Familiar marine molluscs used as a food source by humans include many species of clams, mussels, oysters, winkles, and scallops. having turned into ice as a result of extreme cold. Frozen fish and shellfish
52;80110;Eggs;an oval or round object laid by a female bird, reptile, fish, or invertebrate, usually containing a developing embryo. The eggs of birds are enclosed in a chalky shell, while those of reptiles are in a leathery membrane. Eggs
53;90110;Fresh milk, all types;produced by the mammary glands of mammals. It is the primary source of nutrition for infant mammals (including humans who breastfeed) before they are able to digest other types of food. Early-lactation milk contains colostrum, which carries the mother's antibodies to its young and can reduce the risk of many diseases. It contains many other nutrients[1] including protein and lactose.  As an agricultural product, milk is extracted from non-human mammals during or soon after pregnancy. Dairy farms produced about 730 million tonnes of milk in 2011,[2] from 260 million dairy cows.[3] India is the world's largest producer of milk, and is the leading exporter of skimmed milk powder, yet it exports few other milk products.[4][5] The ever increasing rise in domestic demand for dairy products and a large demand-supply gap could lead to India being a net importer of dairy products in the future.[6] The United States, India, China and Brazil are the world's largest exporters of milk and milk products.[7] China and Russia were the world's largest importers of milk and milk products until 2016 when both countries became self-sufficient, contributing to a worldwide glut of milk.[8]  Throughout the world, more than six billion people consume milk and milk products. Over 750 million people live in dairy farming households.[9] Fresh milk, all types
54;90210;Cream;"Cream is a dairy product composed of the higher-butterfat layer skimmed from the top of milk before homogenization. In un-homogenized milk, the fat, which is less dense, will eventually rise to the top. In the industrial production of cream, this process is accelerated by using centrifuges called ""separators"". In many countries, cream is sold in several grades depending on the total butterfat content. Cream can be dried to a powder for shipment to distant markets. Cream has high levels of saturated fat.[1][2]  Cream skimmed from milk may be called ""sweet cream"" to distinguish it from whey cream skimmed from whey, a by-product of cheese-making. Whey cream has a lower fat content and tastes more salty, tangy and ""cheesy"".[3] In many countries, cream is usually sold partially fermented: sour cream, crème fraîche, and so on.  Cream has many culinary uses in sweet, bitter, salty and tangy dishes. Cream"
55;100110;Butter;containing up to 80% butterfat (in commercial products) which is solid when chilled and at room temperature in some regions and liquid when warmed. It is made by churning fresh or fermented cream or milk to separate the butterfat from the buttermilk. It is generally used as a spread on plain or toasted bread products and a condiment on cooked vegetables, as well as in cooking, such as baking, sauce making, and pan frying. Butter consists of butterfat, milk proteins and water, and in some types, added salt. Butter may also be sold with added flavourings, such as garlic butter.  Most frequently made from cows' milk, butter can also be manufactured from the milk of other mammals, including sheep, goats, buffalo, and yaks. Salt such as dairy salt, flavorings and preservatives are sometimes added to butter. Rendering butter produces clarified butter or ghee, which is almost entirely butterfat.  Butter is a water-in-oil emulsion resulting from an inversion of the cream  in a water-in-oil emulsion, the milk proteins are the emulsifiers. Butter remains a solid when refrigerated, but softens to a spreadable consistency at room temperature, and melts to a thin liquid consistency at 32–35 °C (90–95 °F). Butter
56;100210;Cheese;Cheese is a food derived from milk that is produced in a wide range of flavors, textures, and forms by coagulation of the milk protein casein. It comprises proteins and fat from milk, usually the milk of cows, buffalo, goats, or sheep. During production, the milk is usually acidified, and adding the enzyme rennet causes coagulation. The solids are separated and pressed into final form.[1] Some cheeses have molds on the rind, the outer layer, or throughout. Most cheeses melt at cooking temperature.  Hundreds of types of cheese from various countries are produced. Their styles, textures and flavors depend on the origin of the milk (including the animal's diet), whether they have been pasteurized, the butterfat content, the bacteria and mold, the processing, and aging. Herbs, spices, or wood smoke may be used as flavoring agents. The yellow to red color of many cheeses, such as Red Leicester, is produced by adding annatto. Other ingredients may be added to some cheeses, such as black pepper, garlic, chives or cranberries.  For a few cheeses, the milk is curdled by adding acids such as vinegar or lemon juice. Most cheeses are acidified to a lesser degree by bacteria, which turn milk sugars into lactic acid, then the addition of rennet completes the curdling. Vegetarian alternatives to rennet are available  most are produced by fermentation of the fungus Mucor miehei, but others have been extracted from various species of the Cynara thistle family. Cheesemakers near a dairy region may benefit from fresher, lower-priced milk, and lower shipping costs.  Cheese is valued for its portability, long life, and high content of fat, protein, calcium, and phosphorus. Cheese is more compact and has a longer shelf life than milk, although how long a cheese will keep depends on the type of cheese  labels on packets of cheese often claim that a cheese should be consumed within three to five days of opening. Generally speaking, hard cheeses, such as parmesan last longer than soft cheeses, such as Brie or goat's milk cheese. The long storage life of some cheeses, especially when encased in a protective rind, allows selling when markets are favorable.  There is some debate as to the best way to store cheese, but some experts[who?] say that wrapping it in cheese paper provides optimal results. Cheese paper is coated in a porous plastic on the inside, and the outside has a layer of wax. This specific combination of plastic on the inside and wax on the outside protects the cheese by allowing condensation on the cheese to be wicked away while preventing moisture from within the cheese escaping.[2]  A specialist seller of cheese is sometimes known as a cheesemonger. Becoming an expert in this field requires some formal education and years of tasting and hands-on experience, much like becoming an expert in wine or cuisine. The cheesemonger is responsible for all aspects of the cheese inventory: selecting the cheese menu, purchasing, receiving, storage, and ripening.[3 Cheese
57;100410;Ice cream and related products;"Ice cream (derived from earlier iced cream or cream ice[1]) is a sweetened frozen food typically eaten as a snack or dessert. It is usually made from dairy products, such as milk and cream, and often combined with fruits or other ingredients and flavors. It is typically sweetened with sugar or sugar substitutes. Typically, flavourings and colourings are added in addition to stabilizers. The mixture is stirred to incorporate air spaces and cooled below the freezing point of water to prevent detectable ice crystals from forming. The result is a smooth, semi-solid foam that is solid at very low temperatures (< 2 °C or 35 °F). It becomes more malleable as its temperature increases.  The meaning of the phrase ""ice cream"" varies from one country to another. Phrases such as ""frozen custard"", ""frozen yogurt"", ""sorbet"", ""gelato"" and others are used to distinguish different varieties and styles. In some countries, such as the United States, the phrase ""ice cream"" applies only to a specific variety, and most governments regulate the commercial use of the various terms according to the relative quantities of the main ingredients, notably the amount of cream.[2] Products that do not meet the criteria to be called ice cream are labelled ""frozen dairy dessert"" instead.[3] In other countries, such as Italy and Argentina, one word is used for all variants. Analogues made from dairy alternatives, such as goat's or sheep's milk, or milk substitutes (e.g., soy milk or tofu), are available for those who are lactose intolerant, allergic to dairy protein, or vegan.  Ice cream may be served in dishes, for eating with a spoon, or in cones, which are licked. Ice cream may be served with other desserts, such as apple pie. Ice cream is used to prepare other desserts, including ice cream floats, sundaes, milkshakes, ice cream cakes and even baked items, such as the Baked Alaska. Ice cream and related products"
58;100510;Miscellaneous dairy products;"A dairy is a business enterprise established for the harvesting or processing (or both) of animal milk – mostly from cows or goats, but also from buffaloes, sheep, horses, or camels – for human consumption. A dairy is typically located on a dedicated dairy farm or in a section of a multi-purpose farm (mixed farm) that is concerned with the harvesting of milk.  Terminology differs between countries. For example, in the United States, an entire dairy farm is commonly called a ""dairy"". The building or farm area where milk is harvested from the cow is often called a ""milking parlor"" or ""parlor"". The farm area where milk is stored in bulk tanks is known as the farm's ""milk house"". Milk is then hauled (usually by truck) to a ""dairy plant"" = also referred to as a ""dairy"" - where raw milk is further processed[by whom?] and prepared for commercial sale of dairy products. In New Zealand, farm areas for milk harvesting are also called ""milking parlours"", and are historically known as ""milking sheds"".[citation needed] As in the United States, sometimes milking sheds are referred to by their type, such as ""herring bone shed"" or ""pit parlour"". Parlour design has evolved from simple barns or sheds to large rotary structures in which the workflow (throughput of cows) is very efficiently handled. In some countries, especially those with small numbers of animals being milked, the farm may perform the functions of a dairy plant, processing their own milk into salable dairy products, such as butter, cheese, or yogurt. This on-site processing is a traditional method of producing specialist milk products, common in Europe.  In the United States a dairy can also be a place that processes, distributes and sells dairy products, or a room, building or establishment where milk is stored and processed into milk products, such as butter or cheese. In New Zealand English the singular use of the word dairy almost exclusively refers to a corner shop, or superette. This usage is historical as such shops were a common place for the public to buy milk products.  As an attributive, the word dairy refers to milk-based products, derivatives and processes, and the animals and workers involved in their production: for example dairy cattle, dairy goat. A dairy farm produces milk and a dairy factory processes it into a variety of dairy products. These establishments constitute the global dairy industry, a component of the food industry. Miscellaneous dairy products"
59;110110;Apples;The apple tree (Malus pumila, commonly and erroneously called Malus domestica) is a deciduous tree in the rose family best known for its sweet, pomaceous fruit, the apple. It is cultivated worldwide as a fruit tree, and is the most widely grown species in the genus Malus. The tree originated in Central Asia, where its wild ancestor, Malus sieversii, is still found today. Apples have been grown for thousands of years in Asia and Europe, and were brought to North America by European colonists. Apples have religious and mythological significance in many cultures, including Norse, Greek and European Christian traditions.  Apple trees are large if grown from seed. Generally apple cultivars are propagated by grafting onto rootstocks, which control the size of the resulting tree. There are more than 7,500 known cultivars of apples, resulting in a range of desired characteristics. Different cultivars are bred for various tastes and uses, including cooking, eating raw and cider production. Trees and fruit are prone to a number of fungal, bacterial and pest problems, which can be controlled by a number of organic and non-organic means. In 2010, the fruit's genome was sequenced as part of research on disease control and selective breeding in apple production. Apples
60;110210;Bananas;"The banana is an edible fruit – botanically a berry[1][2] – produced by several kinds of large herbaceous flowering plants in the genus Musa.[3] In some countries, bananas used for cooking may be called plantains, in contrast to dessert bananas. The fruit is variable in size, color, and firmness, but is usually elongated and curved, with soft flesh rich in starch covered with a rind, which may be green, yellow, red, purple, or brown when ripe. The fruits grow in clusters hanging from the top of the plant. Almost all modern edible parthenocarpic (seedless) bananas come from two wild species – Musa acuminata and Musa balbisiana. The scientific names of most cultivated bananas are Musa acuminata, Musa balbisiana, and Musa × paradisiaca for the hybrid Musa acuminata × M. balbisiana, depending on their genomic constitution. The old scientific name Musa sapientum is no longer used.  Musa species are native to tropical Indomalaya and Australia, and are likely to have been first domesticated in Papua New Guinea.[4][5] They are grown in 135 countries,[6] primarily for their fruit, and to a lesser extent to make fiber, banana wine, and banana beer and as ornamental plants. The world's largest producers of bananas in 2016 were India and China, which together accounted for 28% of total production.  Worldwide, there is no sharp distinction between ""bananas"" and ""plantains"". Especially in the Americas and Europe, ""banana"" usually refers to soft, sweet, dessert bananas, particularly those of the Cavendish group, which are the main exports from banana-growing countries. By contrast, Musa cultivars with firmer, starchier fruit are called ""plantains"". In other regions, such as Southeast Asia, many more kinds of banana are grown and eaten, so the binary distinction is not useful and is not made in local languages.  The term ""banana"" is also used as the common name for the plants that produce the fruit.[3] This can extend to other members of the genus Musa, such as the scarlet banana (Musa coccinea), the pink banana (Musa velutina), and the Fe'i bananas. It can also refer to members of the genus Ensete, such as the snow banana (Ensete glaucum) and the economically important false banana (Ensete ventricosum). Both genera are in the banana family, Musaceae. Bananas"
61;110310;Oranges;The orange is the fruit of the citrus species Citrus × sinensis in the family Rutaceae.[1] It is also called sweet orange, to distinguish it from the related Citrus × aurantium, referred to as bitter orange. The sweet orange reproduces asexually (apomixis through nucellar embryony)  varieties of sweet orange arise through mutations.[2]  The orange is a hybrid between pomelo (Citrus maxima) and mandarin (Citrus reticulata). It has genes that are ~25% pomelo and ~75% mandarin [2][3] however, it is not a simple backcrossed BC1 hybrid, but hybridized over multiple generations.[4] The chloroplast genes, and therefore the maternal line, seem to be pomelo.[2] The sweet orange has had its full genome sequenced.[2] Earlier estimates of the percentage of pomelo genes varying from ~50% to 6% have been reported.[3]  Sweet oranges were mentioned in Chinese literature in 314 BC.[2] As of 1987, orange trees were found to be the most cultivated fruit tree in the world.[5] Orange trees are widely grown in tropical and subtropical climates for their sweet fruit. The fruit of the orange tree can be eaten fresh, or processed for its juice or fragrant peel.[6] As of 2012, sweet oranges accounted for approximately 70% of citrus production.[7]  In 2014, 70.9 million tonnes of oranges were grown worldwide, with Brazil producing 24% of the world total followed by China and India. Oranges
62;110410;Other fresh fruits;"In botany, a fruit is the seed-bearing structure in flowering plants (also known as angiosperms) formed from the ovary after flowering.  Fruits are the means by which angiosperms disseminate seeds. Edible fruits, in particular, have propagated with the movements of humans and animals in a symbiotic relationship as a means for seed dispersal and nutrition  in fact, humans and many animals have become dependent on fruits as a source of food.[1] Accordingly, fruits account for a substantial fraction of the world's agricultural output, and some (such as the apple and the pomegranate) have acquired extensive cultural and symbolic meanings.  In common language usage, ""fruit"" normally means the fleshy seed-associated structures of a plant that are sweet or sour, and edible in the raw state, such as apples, bananas, grapes, lemons, oranges, and strawberries. On the other hand, in botanical usage, ""fruit"" includes many structures that are not commonly called ""fruits"", such as bean pods, corn kernels, tomatoes, and wheat grains.[2][3] The section of a fungus that produces spores is also called a fruiting body. Other fresh fruits"
63;110510;Citrus fruits, excluding oranges;"The fruit is a hesperidium, a specialised berry, globose to elongated, 4–30 cm (1.6–11.8 in) long and 4–20 cm (1.6–7.9 in) diameter, with a leathery rind or ""peel"" called a pericarp. The outermost layer of the pericarp is an ""exocarp"" called the flavedo, commonly referred to as the zest. The middle layer of the pericarp is the mesocarp, which in citrus fruits consists of the white, spongy ""albedo"", or ""pith"". The innermost layer of the pericarp is the endocarp. The segments are also called ""liths"", and the space inside each lith is a locule filled with juice vesicles, or ""pulp"". From the endocarp, string-like ""hairs"" extend into the locules, which provide nourishment to the fruit as it develops.[18][19]  Citrus fruits are notable for their fragrance, partly due to flavonoids and limonoids (which in turn are terpenes) contained in the rind, and most are juice-laden. The juice contains a high quantity of citric acid giving them their characteristic sharp flavour. The genus is commercially important as many species are cultivated for their fruit, which is eaten fresh, pressed for juice, or preserved in marmalades and pickles.  They are also good sources of vitamin C and flavonoids. The content of vitamin C in the fruit depends on the species, variety and mode of cultivation. Fruits produced with organic agriculture have been shown to contain more vitamin C than those produced with conventional agriculture in the Algarve, but results depended on the species and cultivar.[20] The flavonoids include various flavanones and flavones Citrus fruits, excluding oranges"
